# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
9.1552734375e+00 6.2654897122e-01 2.3744427332e-01 3.8910469790e-01
9.2163085938e+00 5.1066564446e-01 1.9267161683e-01 3.1799402764e-01
9.2773437500e+00 4.1643639134e-01 1.5676599122e-01 2.5967040013e-01
9.3383789062e+00 3.4826282298e-01 1.2954518606e-01 2.1871763692e-01
9.3994140625e+00 3.0060514751e-01 1.0943900882e-01 1.9116613869e-01
9.4604492188e+00 2.7124247970e-01 9.6743633324e-02 1.7449884637e-01
9.5214843750e+00 2.4985002353e-01 8.5623192983e-02 1.6422683054e-01
9.5825195312e+00 2.3481372328e-01 7.6958326463e-02 1.5785539681e-01
9.6435546875e+00 2.2878051854e-01 7.1166608921e-02 1.5761390962e-01
9.7045898438e+00 2.3196197094e-01 6.7341392792e-02 1.6462057815e-01
9.7656250000e+00 2.4109902974e-01 6.5644155449e-02 1.7545487429e-01
9.8266601562e+00 2.6516716519e-01 6.6885833672e-02 1.9828133152e-01
9.8876953125e+00 3.0880326780e-01 7.1030226634e-02 2.3777304116e-01
9.9487304688e+00 3.6793392205e-01 7.8616885885e-02 2.8931703616e-01
1.0009765625e+01 4.7580474337e-01 9.3534788036e-02 3.8226995534e-01
1.0070800781e+01 5.9705764551e-01 1.1229014788e-01 4.8476749763e-01
1.0131835938e+01 7.1187103528e-01 1.3234299932e-01 5.7952803596e-01
1.0192871094e+01 8.0316315953e-01 1.4977160613e-01 6.5339155339e-01
1.0253906250e+01 8.9369485150e-01 1.6830555013e-01 7.2538930137e-01
1.0314941406e+01 1.0083041570e+00 1.9278143406e-01 8.1552272293e-01
1.0375976562e+01 1.0857733250e+00 2.1152591779e-01 8.7424740722e-01
1.0437011719e+01 1.1765226945e+00 2.3373077263e-01 9.4279192182e-01
1.0498046875e+01 1.2582106705e+00 2.5449135023e-01 1.0037193203e+00
1.0559082031e+01 1.3518960931e+00 2.7848304049e-01 1.0734130526e+00
1.0620117188e+01 1.4509357734e+00 3.0511950907e-01 1.1458162643e+00
1.0681152344e+01 1.5804558116e+00 3.4085869862e-01 1.2395971130e+00
1.0742187500e+01 1.7242796818e+00 3.8233959772e-01 1.3419400840e+00
1.0803222656e+01 1.9132119056e+00 4.3263484618e-01 1.4805770594e+00
1.0864257812e+01 2.1014037669e+00 4.8249761967e-01 1.6189061472e+00
1.0925292969e+01 2.3395147349e+00 5.4408185833e-01 1.7954328766e+00
1.0986328125e+01 2.5584202229e+00 6.0399232541e-01 1.9544278975e+00
1.1047363281e+01 2.6524860789e+00 6.4376358425e-01 2.0087224947e+00
1.1108398438e+01 2.6596383480e+00 6.7089663639e-01 1.9887417116e+00
1.1169433594e+01 2.6216078419e+00 6.8349618298e-01 1.9381116589e+00
1.1230468750e+01 2.6696869161e+00 7.1353716462e-01 1.9561497515e+00
1.1291503906e+01 2.7271151869e+00 7.4338760929e-01 1.9837275776e+00
1.1352539062e+01 2.6747176574e+00 7.4418291183e-01 1.9305347455e+00
1.1413574219e+01 2.4834379569e+00 7.0670284656e-01 1.7767351104e+00
1.1474609375e+01 2.2101744567e+00 6.4236723818e-01 1.5678072185e+00
1.1535644531e+01 2.0259549258e+00 5.9978790615e-01 1.4261670197e+00
1.1596679688e+01 1.8909362449e+00 5.7009733338e-01 1.3208389115e+00
1.1657714844e+01 1.7300894052e+00 5.3022738338e-01 1.1998620218e+00
1.1718750000e+01 1.5621796424e+00 4.8626358893e-01 1.0759160535e+00
1.1779785156e+01 1.3660991140e+00 4.3292410738e-01 9.3317500663e-01
1.1840820312e+01 1.1961990554e+00 3.8545014630e-01 8.1074890913e-01
