# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
7.1411132812e+00 7.3232563959e-02 3.1198281873e-02 4.2034282086e-02
7.2021484375e+00 7.5391028915e-02 3.1380318464e-02 4.4010710451e-02
7.2631835938e+00 7.8215923643e-02 3.1810987321e-02 4.6404936322e-02
7.3242187500e+00 8.1942089332e-02 3.2541478527e-02 4.9400610805e-02
7.3852539062e+00 8.6654250026e-02 3.3602466589e-02 5.3051783437e-02
7.4462890625e+00 9.2356815059e-02 3.5021177947e-02 5.7335637112e-02
7.5073242188e+00 9.9127855385e-02 3.6848796725e-02 6.2279058660e-02
7.5683593750e+00 1.0720273162e-01 3.9177833041e-02 6.8024898582e-02
7.6293945312e+00 1.1693076859e-01 4.2143953764e-02 7.4786814825e-02
7.6904296875e+00 1.2874876873e-01 4.5923227799e-02 8.2825540932e-02
7.7514648438e+00 1.4330851223e-01 5.0750987918e-02 9.2557524316e-02
7.8125000000e+00 1.6165412113e-01 5.6977860104e-02 1.0467626102e-01
7.8735351562e+00 1.8531705713e-01 6.5151716003e-02 1.2016534113e-01
7.9345703125e+00 2.1646694525e-01 7.6115885196e-02 1.4035106005e-01
7.9956054688e+00 2.5843255802e-01 9.1197570203e-02 1.6723498781e-01
8.0566406250e+00 3.1680893773e-01 1.1262814959e-01 2.0418078814e-01
8.1176757812e+00 4.0093014347e-01 1.4414221490e-01 2.5678792858e-01
8.1787109375e+00 5.2449563724e-01 1.9124878785e-01 3.3324684939e-01
8.2397460938e+00 7.0331700036e-01 2.6038558365e-01 4.4293141671e-01
8.3007812500e+00 9.4927888694e-01 3.5657794383e-01 5.9270094311e-01
8.3618164062e+00 1.2619332123e+00 4.8010449909e-01 7.8182871323e-01
8.4228515625e+00 1.6205048019e+00 6.2330816567e-01 9.9719663622e-01
8.4838867188e+00 1.9810065061e+00 7.6943030550e-01 1.2115762006e+00
8.5449218750e+00 2.2843249097e+00 8.9568270542e-01 1.3886422043e+00
8.6059570312e+00 2.4744740384e+00 9.8001570837e-01 1.4944583301e+00
8.6669921875e+00 2.5170055833e+00 1.0075359789e+00 1.5094696044e+00
8.7280273438e+00 2.4088878266e+00 9.7400093996e-01 1.4348868866e+00
8.7890625000e+00 2.1785402002e+00 8.8713998636e-01 1.2914002139e+00
8.8500976562e+00 1.8765451213e+00 7.6539291740e-01 1.1111522039e+00
8.9111328125e+00 1.5581283040e+00 6.3208317858e-01 9.2604512543e-01
8.9721679688e+00 1.2652062988e+00 5.0708921589e-01 7.5811708289e-01
9.0332031250e+00 1.0183961847e+00 4.0161263254e-01 6.1678355219e-01
9.0942382812e+00 8.2051215873e-01 3.1830938998e-01 5.0220276875e-01
9.1552734375e+00 6.6493204494e-01 2.5449761751e-01 4.1043442743e-01
9.2163085938e+00 5.4296336198e-01 2.0571030413e-01 3.3725305785e-01
9.2773437500e+00 4.4792574927e-01 1.6812731218e-01 2.7979843709e-01
9.3383789062e+00 3.7561990602e-01 1.3927952486e-01 2.3634038116e-01
9.3994140625e+00 3.2273220628e-01 1.1750074315e-01 2.0523146313e-01
9.4604492188e+00 2.8569601567e-01 1.0129555044e-01 1.8440046523e-01
9.5214843750e+00 2.6104534695e-01 8.9277776262e-02 1.7176757069e-01
9.5825195312e+00 2.4637603369e-01 8.0437768064e-02 1.6593826562e-01
9.6435546875e+00 2.4078516026e-01 7.4248326522e-02 1.6653683374e-01
9.7045898438e+00 2.4476910860e-01 7.0548329920e-02 1.7422077868e-01
9.7656250000e+00 2.6016317081e-01 6.9433744196e-02 1.9072942662e-01
9.8266601562e+00 2.9008840135e-01 7.1228448393e-02 2.1885995295e-01
9.8876953125e+00 3.3827975722e-01 7.6430722536e-02 2.6184903469e-01
9.9487304688e+00 4.0715710888e-01 8.5483466424e-02 3.2167364246e-01
1.0009765625e+01 4.9500396119e-01 9.8351178479e-02 3.9665278272e-01
1.0070800781e+01 5.9500809491e-01 1.1427840581e-01 4.8072968910e-01
1.0131835938e+01 6.9859187205e-01 1.3215008759e-01 5.6644178446e-01
1.0192871094e+01 8.0023923916e-01 1.5116269916e-01 6.4907654000e-01
1.0253906250e+01 8.9855279788e-01 1.7102532811e-01 7.2752746977e-01
1.0314941406e+01 9.9363173706e-01 1.9160441085e-01 8.0202732621e-01
1.0375976562e+01 1.0856651619e+00 2.1275979084e-01 8.7290537106e-01
1.0437011719e+01 1.1760958484e+00 2.3463910275e-01 9.4145674563e-01
1.0498046875e+01 1.2684573759e+00 2.5794768884e-01 1.0105096871e+00
1.0559082031e+01 1.3678703380e+00 2.8392578859e-01 1.0839445494e+00
1.0620117188e+01 1.4801343201e+00 3.1406158829e-01 1.1660727318e+00
1.0681152344e+01 1.6105717157e+00 3.4958334744e-01 1.2609883682e+00
1.0742187500e+01 1.7624840753e+00 3.9098009271e-01 1.3715039826e+00
