# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
8.3007812500e+00 5.6574062653e-01 2.0084941055e-01 3.6489121598e-01
8.3618164062e+00 7.6603077938e-01 2.7745609782e-01 4.8857468156e-01
8.4228515625e+00 1.1009091836e+00 4.0731950408e-01 6.9358967956e-01
8.4838867188e+00 1.6205041910e+00 6.1287882429e-01 1.0076253667e+00
8.5449218750e+00 2.3864099953e+00 9.2164245715e-01 1.4647675382e+00
8.6059570312e+00 3.0479132853e+00 1.1870961450e+00 1.8608171403e+00
8.6669921875e+00 3.1568083603e+00 1.2377828649e+00 1.9190254954e+00
8.7280273438e+00 2.8738512810e+00 1.1401967450e+00 1.7336545360e+00
8.7890625000e+00 2.5919096559e+00 1.0559904313e+00 1.5359192247e+00
8.8500976562e+00 2.3552103285e+00 9.9072811656e-01 1.3644822119e+00
8.9111328125e+00 1.9978023125e+00 8.4604577027e-01 1.1517565423e+00
8.9721679688e+00 1.6528313467e+00 6.9740275377e-01 9.5542859296e-01
9.0332031250e+00 1.3192687234e+00 5.4483936584e-01 7.7442935759e-01
9.0942382812e+00 1.0273752859e+00 4.0794416611e-01 6.1943111980e-01
9.1552734375e+00 8.2347754519e-01 3.1514170002e-01 5.0833584517e-01
9.2163085938e+00 6.7197467721e-01 2.5248398782e-01 4.1949068939e-01
9.2773437500e+00 5.3434164139e-01 1.9898585590e-01 3.3535578549e-01
9.3383789062e+00 4.3620213408e-01 1.6177599754e-01 2.7442613654e-01
9.3994140625e+00 3.5819450566e-01 1.3127258316e-01 2.2692192250e-01
9.4604492188e+00 2.9933744225e-01 1.0694728730e-01 1.9239015495e-01
9.5214843750e+00 2.6529915288e-01 9.1953248544e-02 1.7334590434e-01
9.5825195312e+00 2.4310912557e-01 8.0726870127e-02 1.6238225545e-01
9.6435546875e+00 2.3652423209e-01 7.4733541353e-02 1.6179069073e-01
9.7045898438e+00 2.3433524862e-01 6.8884061440e-02 1.6545118718e-01
9.7656250000e+00 2.4019234333e-01 6.5994214184e-02 1.7419812914e-01
9.8266601562e+00 2.6054734447e-01 6.5769660334e-02 1.9477768414e-01
9.8876953125e+00 3.0373115422e-01 6.9362032246e-02 2.3436912197e-01
9.9487304688e+00 3.8425685592e-01 7.8756359024e-02 3.0550049690e-01
1.0009765625e+01 4.9262718999e-01 9.2676021312e-02 3.9995116868e-01
1.0070800781e+01 6.1445080176e-01 1.1043510566e-01 5.0401569610e-01
1.0131835938e+01 7.0264690125e-01 1.2583418883e-01 5.7681271242e-01
1.0192871094e+01 7.6854153109e-01 1.3959858135e-01 6.2894294974e-01
