# freq_THz  G_total  G_Ga  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.1962890625e+01 1.5665219180e-02 9.5811940967e-03 6.0840250836e-03
1.2023925781e+01 1.4899681928e-02 9.1032568845e-03 5.7964250434e-03
1.2084960938e+01 1.4265662273e-02 8.6920657403e-03 5.5735965327e-03
1.2145996094e+01 1.3896412237e-02 8.4389518263e-03 5.4574604103e-03
1.2207031250e+01 1.3606112386e-02 8.2230425102e-03 5.3830698758e-03
1.2268066406e+01 1.3286590895e-02 8.0102894857e-03 5.2763014091e-03
1.2329101562e+01 1.3048578207e-02 7.8386239752e-03 5.2099542316e-03
1.2390136719e+01 1.2826367812e-02 7.7022536477e-03 5.1241141638e-03
1.2451171875e+01 1.2728385274e-02 7.6536971703e-03 5.0746881041e-03
1.2512207031e+01 1.2816527240e-02 7.7178034250e-03 5.0987238146e-03
1.2573242188e+01 1.3063297345e-02 7.8808802592e-03 5.1824170860e-03
1.2634277344e+01 1.2993950507e-02 7.8948835749e-03 5.0990669320e-03
1.2695312500e+01 1.2758963204e-02 7.7996409411e-03 4.9593222630e-03
1.2756347656e+01 1.2546353808e-02 7.7039539202e-03 4.8423998881e-03
1.2817382812e+01 1.2281135137e-02 7.5667993680e-03 4.7143357685e-03
1.2878417969e+01 1.1917807294e-02 7.3924900379e-03 4.5253172564e-03
1.2939453125e+01 1.1605459156e-02 7.2571354201e-03 4.3483237355e-03
1.3000488281e+01 1.1461425648e-02 7.2088057814e-03 4.2526198670e-03
1.3061523438e+01 1.1154002662e-02 7.0607707882e-03 4.0932318740e-03
1.3122558594e+01 1.0688147409e-02 6.7887765910e-03 3.8993708182e-03
1.3183593750e+01 1.0431400300e-02 6.6662390598e-03 3.7651612403e-03
1.3244628906e+01 1.0459792493e-02 6.7161127217e-03 3.7436797710e-03
1.3305664062e+01 1.0207529701e-02 6.5689848147e-03 3.6385448860e-03
1.3366699219e+01 1.0029116418e-02 6.4434021073e-03 3.5857143110e-03
1.3427734375e+01 9.9758477453e-03 6.3857883262e-03 3.5900594191e-03
1.3488769531e+01 9.9543427044e-03 6.3316580608e-03 3.6226846436e-03
1.3549804688e+01 1.0019301624e-02 6.3216724438e-03 3.6976291801e-03
1.3610839844e+01 1.0200956815e-02 6.3825007536e-03 3.8184560616e-03
1.3671875000e+01 1.0391285923e-02 6.4376953311e-03 3.9535905918e-03
1.3732910156e+01 1.0469599348e-02 6.4521421494e-03 4.0174571983e-03
1.3793945312e+01 1.0450877576e-02 6.4027146080e-03 4.0481629685e-03
1.3854980469e+01 1.0465148076e-02 6.3542183292e-03 4.1109297466e-03
1.3916015625e+01 1.0358135497e-02 6.2402800028e-03 4.1178554940e-03
1.3977050781e+01 1.0481474057e-02 6.2718479566e-03 4.2096261004e-03
1.4038085938e+01 1.0474770427e-02 6.2319144449e-03 4.2428559816e-03
1.4099121094e+01 1.0351744504e-02 6.1342071766e-03 4.2175373273e-03
1.4160156250e+01 1.0298282891e-02 6.0641544223e-03 4.2341284691e-03
1.4221191406e+01 1.0202795105e-02 5.9791962253e-03 4.2235988798e-03
1.4282226562e+01 1.0142683261e-02 5.9294540731e-03 4.2132291878e-03
1.4343261719e+01 1.0071049687e-02 5.8703430768e-03 4.2007066100e-03
1.4404296875e+01 9.9741867826e-03 5.7945709889e-03 4.1796157937e-03
1.4465332031e+01 9.8521367506e-03 5.7264278884e-03 4.1257088622e-03
1.4526367188e+01 9.7600853219e-03 5.6532381264e-03 4.1068471955e-03
1.4587402344e+01 9.5644150362e-03 5.5381910657e-03 4.0262239705e-03
1.4648437500e+01 9.4532921160e-03 5.4641245491e-03 3.9891675669e-03
1.4709472656e+01 9.3696720410e-03 5.4110457720e-03 3.9586262690e-03
1.4770507812e+01 9.1908679279e-03 5.3144736007e-03 3.8763943272e-03
1.4831542969e+01 9.0490900263e-03 5.2295583237e-03 3.8195317025e-03
1.4892578125e+01 8.8027508081e-03 5.0873570928e-03 3.7153937153e-03
1.4953613281e+01 8.5360329802e-03 4.9440892350e-03 3.5919437451e-03
1.5014648438e+01 8.2533563714e-03 4.7904645729e-03 3.4628917985e-03
1.5075683594e+01 7.9966201900e-03 4.6436201073e-03 3.3530000827e-03
1.5136718750e+01 7.7939230466e-03 4.5236345073e-03 3.2702885393e-03
1.5197753906e+01 7.5625136946e-03 4.4026142396e-03 3.1598994550e-03
1.5258789062e+01 7.3996315667e-03 4.3128693212e-03 3.0867622455e-03
1.5319824219e+01 7.1276519155e-03 4.1500054254e-03 2.9776464902e-03
1.5380859375e+01 6.8687523877e-03 3.9937242223e-03 2.8750281654e-03
1.5441894531e+01 6.6624501161e-03 3.8793860612e-03 2.7830640550e-03
1.5502929688e+01 6.4672626307e-03 3.7620237210e-03 2.7052389097e-03
1.5563964844e+01 6.2908884892e-03 3.6589755614e-03 2.6319129278e-03
1.5625000000e+01 6.1685473999e-03 3.5874983206e-03 2.5810490793e-03
1.5686035156e+01 6.0754371634e-03 3.5387271603e-03 2.5367100031e-03
1.5747070312e+01 5.8754960949e-03 3.4244792275e-03 2.4510168674e-03
1.5808105469e+01 5.7719510794e-03 3.3747462175e-03 2.3972048619e-03
1.5869140625e+01 5.6677291758e-03 3.3125803532e-03 2.3551488227e-03
1.5930175781e+01 5.4839684908e-03 3.1926439163e-03 2.2913245745e-03
1.5991210938e+01 5.3791324790e-03 3.1328000464e-03 2.2463324327e-03
1.6052246094e+01 5.2554983478e-03 3.0703214524e-03 2.1851768954e-03
1.6113281250e+01 5.1020345066e-03 2.9793167026e-03 2.1227178041e-03
1.6174316406e+01 4.9608485393e-03 2.8915682455e-03 2.0692802938e-03
1.6235351562e+01 4.8446566494e-03 2.8172794871e-03 2.0273771623e-03
1.6296386719e+01 4.7076806513e-03 2.7479134965e-03 1.9597671548e-03
1.6357421875e+01 4.6044892010e-03 2.6852235732e-03 1.9192656278e-03
1.6418457031e+01 4.4613387332e-03 2.6065309586e-03 1.8548077746e-03
1.6479492188e+01 4.3502342981e-03 2.5398724004e-03 1.8103618977e-03
1.6540527344e+01 4.2204055870e-03 2.4645192446e-03 1.7558863424e-03
1.6601562500e+01 4.0989991907e-03 2.3894856475e-03 1.7095135432e-03
1.6662597656e+01 4.0056063200e-03 2.3321012460e-03 1.6735050741e-03
1.6723632812e+01 3.8690399191e-03 2.2518888749e-03 1.6171510442e-03
1.6784667969e+01 3.7246950690e-03 2.1660886580e-03 1.5586064110e-03
1.6845703125e+01 3.6065264458e-03 2.1043167997e-03 1.5022096461e-03
1.6906738281e+01 3.4769485644e-03 2.0247769241e-03 1.4521716403e-03
1.6967773438e+01 3.3523294139e-03 1.9548554212e-03 1.3974739927e-03
1.7028808594e+01 3.2299643444e-03 1.8823998812e-03 1.3475644632e-03
1.7089843750e+01 3.1444820093e-03 1.8415644179e-03 1.3029175914e-03
1.7150878906e+01 3.0417532018e-03 1.7825874716e-03 1.2591657301e-03
1.7211914062e+01 2.9191523299e-03 1.7123568662e-03 1.2067954636e-03
1.7272949219e+01 2.8421624088e-03 1.6756276161e-03 1.1665347927e-03
1.7333984375e+01 2.7360770712e-03 1.6210450183e-03 1.1150320528e-03
1.7395019531e+01 2.6231097270e-03 1.5547888950e-03 1.0683208319e-03
1.7456054688e+01 2.5313125531e-03 1.5071489342e-03 1.0241636190e-03
1.7517089844e+01 2.4496364176e-03 1.4626141171e-03 9.8702230046e-04
1.7578125000e+01 2.3534876579e-03 1.4093095949e-03 9.4417806299e-04
1.7639160156e+01 2.2787559626e-03 1.3698640543e-03 9.0889190826e-04
1.7700195312e+01 2.2120387238e-03 1.3312776183e-03 8.8076110552e-04
1.7761230469e+01 2.1510624821e-03 1.3005869633e-03 8.5047551883e-04
1.7822265625e+01 2.0740098771e-03 1.2574711699e-03 8.1653870713e-04
1.7883300781e+01 2.0104076616e-03 1.2203178468e-03 7.9008981474e-04
1.7944335938e+01 1.9351349958e-03 1.1760155057e-03 7.5911949008e-04
1.8005371094e+01 1.8622101174e-03 1.1308994366e-03 7.3131068086e-04
1.8066406250e+01 1.8096978005e-03 1.0999087877e-03 7.0978901281e-04
1.8127441406e+01 1.7571449116e-03 1.0714874418e-03 6.8565746980e-04
1.8188476562e+01 1.7053070944e-03 1.0407014542e-03 6.6460564026e-04
1.8249511719e+01 1.6524006923e-03 1.0065413545e-03 6.4585933787e-04
1.8310546875e+01 1.5839245431e-03 9.6102691083e-04 6.2289763224e-04
1.8371582031e+01 1.5373495669e-03 9.3168033520e-04 6.0566923169e-04
1.8432617188e+01 1.4947299535e-03 9.0562319625e-04 5.8910675726e-04
1.8493652344e+01 1.4298896411e-03 8.6314119884e-04 5.6674844225e-04
1.8554687500e+01 1.3895378736e-03 8.3942412224e-04 5.5011375137e-04
1.8615722656e+01 1.3695983432e-03 8.2642869686e-04 5.4316964638e-04
1.8676757812e+01 1.3371027780e-03 8.0751402409e-04 5.2958875387e-04
1.8737792969e+01 1.3060317908e-03 7.8934953484e-04 5.1668225598e-04
1.8798828125e+01 1.2764829774e-03 7.6896066238e-04 5.0752231505e-04
1.8859863281e+01 1.2313157331e-03 7.3999094670e-04 4.9132478644e-04
1.8920898438e+01 1.2023117628e-03 7.2235661652e-04 4.7995514631e-04
1.8981933594e+01 1.1826328817e-03 7.1237597319e-04 4.7025690853e-04
1.9042968750e+01 1.1532709068e-03 6.9234485841e-04 4.6092604841e-04
1.9104003906e+01 1.1287334157e-03 6.8068801924e-04 4.4804539644e-04
1.9165039062e+01 1.1061631190e-03 6.6760909284e-04 4.3855402611e-04
1.9226074219e+01 1.0804219406e-03 6.5462445474e-04 4.2579748584e-04
1.9287109375e+01 1.0647098601e-03 6.4692613072e-04 4.1778372941e-04
1.9348144531e+01 1.0505167988e-03 6.4312348433e-04 4.0739331448e-04
1.9409179688e+01 1.0369891346e-03 6.3828778406e-04 3.9870135057e-04
1.9470214844e+01 1.0209797064e-03 6.2946567472e-04 3.9151403170e-04
1.9531250000e+01 9.9118596429e-04 6.1228554367e-04 3.7890042062e-04
1.9592285156e+01 9.7124039746e-04 6.0202612051e-04 3.6921427695e-04
1.9653320312e+01 9.6501700676e-04 5.9844175410e-04 3.6657525267e-04
1.9714355469e+01 9.6375990419e-04 6.0130146419e-04 3.6245844000e-04
1.9775390625e+01 9.4928416556e-04 5.9476941563e-04 3.5451474993e-04
