# freq_THz  G_total_s  G_Ga_s  G_Se_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
7.1411132812e+00 1.4196203687e+00 9.1125689539e-01 5.0836347332e-01
7.2021484375e+00 1.5474699902e+00 9.9645367391e-01 5.5101631628e-01
7.2631835938e+00 1.6258721007e+00 1.0331061162e+00 5.9276598455e-01
7.3242187500e+00 1.6734385754e+00 1.0354382896e+00 6.3800028583e-01
7.3852539062e+00 1.7325422259e+00 1.0374181464e+00 6.9512407957e-01
7.4462890625e+00 1.8282365097e+00 1.0615345534e+00 7.6670195622e-01
7.5073242188e+00 1.9508451991e+00 1.1062978952e+00 8.4454730388e-01
7.5683593750e+00 2.0665186759e+00 1.1538235166e+00 9.1269515926e-01
7.6293945312e+00 2.1409082549e+00 1.1847972987e+00 9.5611095614e-01
7.6904296875e+00 2.1599363345e+00 1.1905374452e+00 9.6939888936e-01
7.7514648438e+00 2.1342499412e+00 1.1756595976e+00 9.5859034364e-01
7.8125000000e+00 2.0872890029e+00 1.1519031719e+00 9.3538583103e-01
7.8735351562e+00 2.0407516849e+00 1.1304463599e+00 9.1030532501e-01
7.9345703125e+00 2.0083294049e+00 1.1184934797e+00 8.8983592524e-01
7.9956054688e+00 1.9975752620e+00 1.1201935456e+00 8.7738171643e-01
8.0566406250e+00 2.0123071144e+00 1.1376757203e+00 8.7463139411e-01
8.1176757812e+00 2.0486630459e+00 1.1683947409e+00 8.8026830494e-01
8.1787109375e+00 2.0899653895e+00 1.2020492144e+00 8.8791617501e-01
8.2397460938e+00 2.1115216615e+00 1.2235219734e+00 8.8799968809e-01
8.3007812500e+00 2.0930407053e+00 1.2202831218e+00 8.7275758349e-01
8.3618164062e+00 2.0266007955e+00 1.1872018383e+00 8.3939895722e-01
8.4228515625e+00 1.9170948257e+00 1.1269661432e+00 7.9012868247e-01
8.4838867188e+00 1.7788830815e+00 1.0481647889e+00 7.3071829265e-01
8.5449218750e+00 1.6289276631e+00 9.6114558275e-01 6.6778208034e-01
8.6059570312e+00 1.4783655676e+00 8.7287812890e-01 6.0548743868e-01
8.6669921875e+00 1.3295001900e+00 7.8504171435e-01 5.4445847561e-01
8.7280273438e+00 1.1807528226e+00 6.9692054409e-01 4.8383227851e-01
8.7890625000e+00 1.0330415623e+00 6.0921678163e-01 4.2382478066e-01
8.8500976562e+00 8.9106230115e-01 5.2483202461e-01 3.6623027654e-01
8.9111328125e+00 7.6059434652e-01 4.4727489465e-01 3.1331945187e-01
8.9721679688e+00 6.4586696751e-01 3.7911268050e-01 2.6675428701e-01
9.0332031250e+00 5.4842332105e-01 3.2129611271e-01 2.2712720833e-01
9.0942382812e+00 4.6738658164e-01 2.7330305280e-01 1.9408352884e-01
9.1552734375e+00 4.0060537679e-01 2.3382717761e-01 1.6677819917e-01
9.2163085938e+00 3.4573234465e-01 2.0144346779e-01 1.4428887686e-01
9.2773437500e+00 3.0072168886e-01 1.7491599505e-01 1.2580569382e-01
9.3383789062e+00 2.6385672102e-01 1.5321259738e-01 1.1064412364e-01
9.3994140625e+00 2.3359727266e-01 1.3541083267e-01 9.8186439985e-02
9.4604492188e+00 2.0849376252e-01 1.2064693310e-01 8.7846829418e-02
9.5214843750e+00 1.8727458401e-01 1.0816858728e-01 7.9105996736e-02
9.5825195312e+00 1.6904227375e-01 9.7448622438e-02 7.1593651308e-02
9.6435546875e+00 1.5332990961e-01 8.8215525088e-02 6.5114384524e-02
9.7045898438e+00 1.3986700689e-01 8.0315449800e-02 5.9551557089e-02
9.7656250000e+00 1.2831218499e-01 7.3552837705e-02 5.4759347284e-02
9.8266601562e+00 1.1824924154e-01 6.7685690782e-02 5.0563550762e-02
9.8876953125e+00 1.0934772039e-01 6.2521414185e-02 4.6826306203e-02
9.9487304688e+00 1.0141904577e-01 5.7949359577e-02 4.3469686195e-02
