# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
6.4697265625e+00 7.2855003804e-02 4.0319659310e-02 3.2535344494e-02
6.5307617188e+00 7.0346625708e-02 3.7963376027e-02 3.2383249681e-02
6.5917968750e+00 6.8110835806e-02 3.5891415105e-02 3.2219420701e-02
6.6528320312e+00 6.6817462393e-02 3.4375501967e-02 3.2441960426e-02
6.7138671875e+00 6.6253827880e-02 3.3208517039e-02 3.3045310841e-02
6.7749023438e+00 6.5539450078e-02 3.2068608525e-02 3.3470841553e-02
6.8359375000e+00 6.4336084810e-02 3.0659810368e-02 3.3676274442e-02
6.8969726562e+00 6.4835466100e-02 2.9921926495e-02 3.4913539605e-02
6.9580078125e+00 6.5710437011e-02 2.9292327877e-02 3.6418109134e-02
7.0190429688e+00 6.6912970985e-02 2.8887079661e-02 3.8025891323e-02
7.0800781250e+00 6.8042428254e-02 2.8470008389e-02 3.9572419864e-02
7.1411132812e+00 6.8889506973e-02 2.8365874203e-02 4.0523632770e-02
7.2021484375e+00 7.0896892039e-02 2.8388611034e-02 4.2508281004e-02
7.2631835938e+00 7.4126417385e-02 2.8733133052e-02 4.5393284333e-02
7.3242187500e+00 7.7006492092e-02 2.9052845354e-02 4.7953646738e-02
7.3852539062e+00 8.0655292669e-02 2.9894560678e-02 5.0760731991e-02
7.4462890625e+00 8.4000247198e-02 3.0442145030e-02 5.3558102168e-02
7.5073242188e+00 8.8986341780e-02 3.1625427794e-02 5.7360913986e-02
7.5683593750e+00 9.4476105720e-02 3.3157433195e-02 6.1318672525e-02
7.6293945312e+00 1.0214785937e-01 3.5127942902e-02 6.7019916466e-02
7.6904296875e+00 1.1113059766e-01 3.7839619486e-02 7.3290978171e-02
7.7514648438e+00 1.2135691324e-01 4.0679129095e-02 8.0677784141e-02
7.8125000000e+00 1.3346382279e-01 4.4253189980e-02 8.9210632811e-02
7.8735351562e+00 1.4779179180e-01 4.9146424757e-02 9.8645367043e-02
7.9345703125e+00 1.6919745294e-01 5.6244607657e-02 1.1295284528e-01
7.9956054688e+00 1.9515152238e-01 6.4906517808e-02 1.3024500458e-01
8.0566406250e+00 2.2715689930e-01 7.5869591906e-02 1.5128730739e-01
8.1176757812e+00 2.7197667047e-01 9.1625862856e-02 1.8035080762e-01
8.1787109375e+00 3.3533790422e-01 1.1466746696e-01 2.2067043726e-01
8.2397460938e+00 4.3258689020e-01 1.5000789904e-01 2.8257899115e-01
8.3007812500e+00 5.6799220859e-01 2.0046507485e-01 3.6752713374e-01
8.3618164062e+00 7.7997657568e-01 2.8104572476e-01 4.9893085092e-01
8.4228515625e+00 1.0923726103e+00 4.0137740691e-01 6.9099520338e-01
8.4838867188e+00 1.5421224824e+00 5.7816264364e-01 9.6395983877e-01
8.5449218750e+00 2.0531570724e+00 7.8008180627e-01 1.2730752662e+00
8.6059570312e+00 2.4969092161e+00 9.5565098029e-01 1.5412582358e+00
8.6669921875e+00 2.6903604432e+00 1.0382829314e+00 1.6520775118e+00
8.7280273438e+00 2.6270846999e+00 1.0288821664e+00 1.5982025336e+00
8.7890625000e+00 2.4228501893e+00 9.7020469953e-01 1.4526454897e+00
8.8500976562e+00 2.1306927121e+00 8.6824397802e-01 1.2624487341e+00
8.9111328125e+00 1.7567077888e+00 7.1307997345e-01 1.0436278153e+00
8.9721679688e+00 1.4007621174e+00 5.5801043301e-01 8.4275168435e-01
9.0332031250e+00 1.1139283456e+00 4.3016225714e-01 6.8376608844e-01
9.0942382812e+00 9.3911486863e-01 3.5188195165e-01 5.8723291698e-01
9.1552734375e+00 8.2254435290e-01 3.0064491904e-01 5.2189943387e-01
9.2163085938e+00 7.5195475391e-01 2.7000018689e-01 4.8195456702e-01
9.2773437500e+00 7.1599385255e-01 2.5448564783e-01 4.6150820472e-01
9.3383789062e+00 7.0979761208e-01 2.5023368573e-01 4.5956392635e-01
9.3994140625e+00 7.5900631898e-01 2.6611887702e-01 4.9288744196e-01
9.4604492188e+00 7.4540922218e-01 2.6056121260e-01 4.8484800957e-01
9.5214843750e+00 6.7048763174e-01 2.3384600995e-01 4.3664162179e-01
9.5825195312e+00 5.3402379688e-01 1.8341564745e-01 3.5060814943e-01
9.6435546875e+00 4.1374198180e-01 1.3573592949e-01 2.7800605231e-01
9.7045898438e+00 3.4912722503e-01 1.0726486164e-01 2.4186236340e-01
9.7656250000e+00 3.4677964581e-01 9.7157135404e-02 2.4962251040e-01
9.8266601562e+00 3.7811543517e-01 9.6476893444e-02 2.8163854173e-01
9.8876953125e+00 4.5288982334e-01 1.0445129526e-01 3.4843852808e-01
9.9487304688e+00 5.4419489345e-01 1.1759541592e-01 4.2659947753e-01
1.0009765625e+01 6.2410303281e-01 1.3152902508e-01 4.9257400773e-01
1.0070800781e+01 7.1458495276e-01 1.4843797532e-01 5.6614697744e-01
1.0131835938e+01 7.8359582597e-01 1.6190975490e-01 6.2168607107e-01
1.0192871094e+01 8.2971535426e-01 1.7235393932e-01 6.5736141494e-01
1.0253906250e+01 8.7953466035e-01 1.8389659858e-01 6.9563806177e-01
1.0314941406e+01 9.0634094352e-01 1.9021162977e-01 7.1612931375e-01
1.0375976562e+01 9.5762073981e-01 2.0142130848e-01 7.5619943133e-01
1.0437011719e+01 1.0453251292e+00 2.2111280119e-01 8.2421232798e-01
1.0498046875e+01 1.1427396296e+00 2.4464436369e-01 8.9809526588e-01
1.0559082031e+01 1.2380366007e+00 2.6789742197e-01 9.7013917874e-01
1.0620117188e+01 1.2988160258e+00 2.8724572355e-01 1.0115703023e+00
1.0681152344e+01 1.4336838516e+00 3.2434558950e-01 1.1093382621e+00
1.0742187500e+01 1.6203596438e+00 3.7469352991e-01 1.2456661139e+00
1.0803222656e+01 1.7963775281e+00 4.2270901507e-01 1.3736685131e+00
1.0864257812e+01 2.0358632151e+00 4.8136401929e-01 1.5544991958e+00
1.0925292969e+01 2.2964008044e+00 5.4260387169e-01 1.7537969327e+00
1.0986328125e+01 2.5313673862e+00 6.0149845465e-01 1.9298689315e+00
1.1047363281e+01 2.6243337142e+00 6.3662639110e-01 1.9877073231e+00
1.1108398438e+01 2.5657303584e+00 6.4405686238e-01 1.9216734961e+00
1.1169433594e+01 2.5545485791e+00 6.6322486706e-01 1.8913237120e+00
1.1230468750e+01 2.6295780104e+00 7.0338509368e-01 1.9261929167e+00
1.1291503906e+01 2.6836655808e+00 7.3401507259e-01 1.9496505082e+00
1.1352539062e+01 2.6366948373e+00 7.3574098770e-01 1.9009538496e+00
1.1413574219e+01 2.4730764799e+00 7.0331328297e-01 1.7697631970e+00
1.1474609375e+01 2.2874149261e+00 6.6376156989e-01 1.6236533562e+00
1.1535644531e+01 2.1261712870e+00 6.2892542976e-01 1.4972458573e+00
1.1596679688e+01 2.0076046497e+00 6.0431683063e-01 1.4032878191e+00
1.1657714844e+01 1.8591536670e+00 5.6907638648e-01 1.2900772805e+00
1.1718750000e+01 1.6874674741e+00 5.2472137240e-01 1.1627461017e+00
1.1779785156e+01 1.4843442463e+00 4.6963717200e-01 1.0147070742e+00
1.1840820312e+01 1.2827828510e+00 4.1272848016e-01 8.7005437079e-01
1.1901855469e+01 1.0844626374e+00 3.5446274926e-01 7.2999988811e-01
1.1962890625e+01 9.6795463330e-01 3.2147351604e-01 6.4648111726e-01
1.2023925781e+01 8.2862560859e-01 2.7848316128e-01 5.5014244731e-01
1.2084960938e+01 6.9498095264e-01 2.3552288108e-01 4.5945807156e-01
1.2145996094e+01 5.1960565615e-01 1.7634201873e-01 3.4326363741e-01
1.2207031250e+01 3.4460388157e-01 1.1609543690e-01 2.2850844467e-01
1.2268066406e+01 2.4169616113e-01 8.0865357936e-02 1.6083080319e-01
1.2329101562e+01 1.8024770583e-01 6.0038933861e-02 1.2020877197e-01
1.2390136719e+01 1.4448564689e-01 4.8139181430e-02 9.6346465460e-02
1.2451171875e+01 1.2225382730e-01 4.0885735980e-02 8.1368091316e-02
1.2512207031e+01 1.0678079558e-01 3.5838179807e-02 7.0942615771e-02
1.2573242188e+01 9.3431552806e-02 3.1526470889e-02 6.1905081916e-02
1.2634277344e+01 8.2584796011e-02 2.8045916122e-02 5.4538879889e-02
1.2695312500e+01 7.4941845396e-02 2.5665663622e-02 4.9276181774e-02
1.2756347656e+01 6.9001216870e-02 2.3787470132e-02 4.5213746738e-02
1.2817382812e+01 6.3715905747e-02 2.2079564786e-02 4.1636340962e-02
1.2878417969e+01 5.9084591779e-02 2.0621175573e-02 3.8463416207e-02
1.2939453125e+01 5.5010837201e-02 1.9332608699e-02 3.5678228503e-02
1.3000488281e+01 5.1188313066e-02 1.8077555666e-02 3.3110757400e-02
1.3061523438e+01 4.8095621706e-02 1.6997062651e-02 3.1098559055e-02
1.3122558594e+01 4.4982114781e-02 1.6151042799e-02 2.8831071983e-02
1.3183593750e+01 4.2461943443e-02 1.5357941932e-02 2.7104001511e-02
1.3244628906e+01 4.0376520087e-02 1.4625588251e-02 2.5750931837e-02
1.3305664062e+01 3.8038147595e-02 1.3908399061e-02 2.4129748534e-02
1.3366699219e+01 3.6446334863e-02 1.3405086109e-02 2.3041248755e-02
1.3427734375e+01 3.4743003871e-02 1.2902755809e-02 2.1840248061e-02
1.3488769531e+01 3.3079138249e-02 1.2370092582e-02 2.0709045666e-02
