# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
1.3122558594e+01 4.5530368146e-02 1.6283347551e-02 2.9247020595e-02
1.3183593750e+01 4.2902825041e-02 1.5455705622e-02 2.7447119420e-02
1.3244628906e+01 4.0568025091e-02 1.4717217933e-02 2.5850807158e-02
1.3305664062e+01 3.8481536614e-02 1.4057153392e-02 2.4424383221e-02
1.3366699219e+01 3.6604584737e-02 1.3467045897e-02 2.3137538840e-02
1.3427734375e+01 3.4905093221e-02 1.2934627176e-02 2.1970466045e-02
1.3488769531e+01 3.3362588814e-02 1.2449448480e-02 2.0913140334e-02
1.3549804688e+01 3.1962276347e-02 1.2006592206e-02 1.9955684141e-02
1.3610839844e+01 3.0674940190e-02 1.1599347252e-02 1.9075592937e-02
1.3671875000e+01 2.9457951064e-02 1.1214692362e-02 1.8243258701e-02
1.3732910156e+01 2.8283806675e-02 1.0841114248e-02 1.7442692427e-02
1.3793945312e+01 2.7156537963e-02 1.0477525670e-02 1.6679012293e-02
1.3854980469e+01 2.6095701922e-02 1.0131218934e-02 1.5964482988e-02
1.3916015625e+01 2.5110914156e-02 9.8086011089e-03 1.5302313047e-02
1.3977050781e+01 2.4193414398e-02 9.5094970620e-03 1.4683917336e-02
1.4038085938e+01 2.3326437671e-02 9.2289403982e-03 1.4097497273e-02
1.4099121094e+01 2.2495240448e-02 8.9608671007e-03 1.3534373347e-02
1.4160156250e+01 2.1688686923e-02 8.6998477537e-03 1.2988839169e-02
1.4221191406e+01 2.0907042622e-02 8.4454213431e-03 1.2461621279e-02
1.4282226562e+01 2.0170978372e-02 8.2060268126e-03 1.1964951560e-02
1.4343261719e+01 1.9504676418e-02 7.9903686036e-03 1.1514307815e-02
1.4404296875e+01 1.8908730192e-02 7.7954878443e-03 1.1113242348e-02
1.4465332031e+01 1.8366888795e-02 7.6128604009e-03 1.0754028394e-02
1.4526367188e+01 1.7870225162e-02 7.4406557088e-03 1.0429569453e-02
1.4587402344e+01 1.7415160919e-02 7.2798734458e-03 1.0135287473e-02
1.4648437500e+01 1.6990310491e-02 7.1261375261e-03 9.8641729651e-03
1.4709472656e+01 1.6583368975e-02 6.9741302896e-03 9.6092386857e-03
1.4770507812e+01 1.6196067822e-02 6.8257156284e-03 9.3703521941e-03
1.4831542969e+01 1.5841419636e-02 6.6881020243e-03 9.1533176122e-03
1.4892578125e+01 1.5526726552e-02 6.5658788304e-03 8.9608477215e-03
1.4953613281e+01 1.5246467151e-02 6.4582954095e-03 8.7881717416e-03
1.5014648438e+01 1.4987729327e-02 6.3608704207e-03 8.6268589065e-03
1.5075683594e+01 1.4733756954e-02 6.2660574061e-03 8.4676995475e-03
1.5136718750e+01 1.4470279430e-02 6.1670646436e-03 8.3032147864e-03
1.5197753906e+01 1.4195868783e-02 6.0632350885e-03 8.1326336948e-03
1.5258789062e+01 1.3917181449e-02 5.9572922654e-03 7.9598891841e-03
1.5319824219e+01 1.3635665546e-02 5.8498062956e-03 7.7858592508e-03
1.5380859375e+01 1.3348999567e-02 5.7411245920e-03 7.6078749749e-03
1.5441894531e+01 1.3056063627e-02 5.6321621969e-03 7.4239014300e-03
1.5502929688e+01 1.2752381544e-02 5.5192901257e-03 7.2330914184e-03
1.5563964844e+01 1.2431907663e-02 5.3963114034e-03 7.0355962600e-03
1.5625000000e+01 1.2096213794e-02 5.2631231371e-03 6.8330906564e-03
1.5686035156e+01 1.1754507846e-02 5.1262682260e-03 6.6282396199e-03
1.5747070312e+01 1.1415662077e-02 4.9916522917e-03 6.4240097853e-03
1.5808105469e+01 1.1081323707e-02 4.8599776003e-03 6.2213461072e-03
1.5869140625e+01 1.0743140085e-02 4.7270715291e-03 6.0160685555e-03
1.5930175781e+01 1.0389471979e-02 4.5875067669e-03 5.8019652118e-03
1.5991210938e+01 1.0020614766e-02 4.4410071915e-03 5.5796075743e-03
1.6052246094e+01 9.6536590613e-03 4.2948420070e-03 5.3588170543e-03
1.6113281250e+01 9.3071078502e-03 4.1567296862e-03 5.1503781640e-03
1.6174316406e+01 8.9841255193e-03 4.0267416229e-03 4.9573838964e-03
1.6235351562e+01 8.6734139563e-03 3.8984265120e-03 4.7749874444e-03
1.6296386719e+01 8.3629540849e-03 3.7664169200e-03 4.5965371650e-03
1.6357421875e+01 8.0514596768e-03 3.6317242840e-03 4.4197353929e-03
1.6418457031e+01 7.7501230308e-03 3.5009887868e-03 4.2491342441e-03
1.6479492188e+01 7.4749773867e-03 3.3814754339e-03 4.0935019527e-03
1.6540527344e+01 7.2364841807e-03 3.2765515643e-03 3.9599326163e-03
1.6601562500e+01 7.0355214254e-03 3.1851941238e-03 3.8503273016e-03
1.6662597656e+01 6.8683476369e-03 3.1048468487e-03 3.7635007882e-03
1.6723632812e+01 6.7356544780e-03 3.0354374411e-03 3.7002170370e-03
1.6784667969e+01 6.6453931397e-03 2.9807370562e-03 3.6646560835e-03
1.6845703125e+01 6.6050199762e-03 2.9447358149e-03 3.6602841613e-03
1.6906738281e+01 6.6152938283e-03 2.9283939503e-03 3.6868998780e-03
1.6967773438e+01 6.6722212695e-03 2.9300688300e-03 3.7421524395e-03
1.7028808594e+01 6.7670502532e-03 2.9456213939e-03 3.8214288593e-03
1.7089843750e+01 6.8841264309e-03 2.9687719395e-03 3.9153544914e-03
1.7150878906e+01 7.0060123630e-03 2.9943636968e-03 4.0116486662e-03
1.7211914062e+01 7.1194673093e-03 3.0200501786e-03 4.0994171306e-03
1.7272949219e+01 7.2109244740e-03 3.0427912212e-03 4.1681332528e-03
1.7333984375e+01 7.2599773472e-03 3.0554383956e-03 4.2045389516e-03
1.7395019531e+01 7.2455078469e-03 3.0492327002e-03 4.1962751467e-03
1.7456054688e+01 7.1589000092e-03 3.0191909513e-03 4.1397090579e-03
1.7517089844e+01 7.0079021924e-03 2.9663607499e-03 4.0415414425e-03
1.7578125000e+01 6.8093804835e-03 2.8963479475e-03 3.9130325360e-03
1.7639160156e+01 6.5834119798e-03 2.8170162614e-03 3.7663957184e-03
1.7700195312e+01 6.3526790951e-03 2.7365731357e-03 3.6161059594e-03
1.7761230469e+01 6.1384647953e-03 2.6613707963e-03 3.4770939990e-03
1.7822265625e+01 5.9529696649e-03 2.5942908293e-03 3.3586788356e-03
1.7883300781e+01 5.7976870942e-03 2.5353749457e-03 3.2623121486e-03
1.7944335938e+01 5.6686057876e-03 2.4837884140e-03 3.1848173736e-03
1.8005371094e+01 5.5606766734e-03 2.4387022400e-03 3.1219744334e-03
1.8066406250e+01 5.4693830142e-03 2.3987263562e-03 3.0706566580e-03
1.8127441406e+01 5.3925479161e-03 2.3619705152e-03 3.0305774009e-03
1.8188476562e+01 5.3331421855e-03 2.3279281117e-03 3.0052140738e-03
1.8249511719e+01 5.3001511197e-03 2.2994310406e-03 3.0007200792e-03
1.8310546875e+01 5.3049162068e-03 2.2818751858e-03 3.0230410210e-03
1.8371582031e+01 5.3561369185e-03 2.2797385608e-03 3.0763983577e-03
1.8432617188e+01 5.4587576004e-03 2.2940806187e-03 3.1646769817e-03
1.8493652344e+01 5.6145182449e-03 2.3231819767e-03 3.2913362682e-03
1.8554687500e+01 5.8209649541e-03 2.3645214605e-03 3.4564434936e-03
1.8615722656e+01 6.0718390902e-03 2.4161426534e-03 3.6556964369e-03
1.8676757812e+01 6.3583243077e-03 2.4765124644e-03 3.8818118433e-03
1.8737792969e+01 6.6679214685e-03 2.5428829170e-03 4.1250385514e-03
1.8798828125e+01 6.9851846479e-03 2.6105830031e-03 4.3746016448e-03
1.8859863281e+01 7.2988139816e-03 2.6755223799e-03 4.6232916016e-03
1.8920898438e+01 7.6076185909e-03 2.7372345758e-03 4.8703840151e-03
1.8981933594e+01 7.9168366870e-03 2.7982214020e-03 5.1186152850e-03
1.9042968750e+01 8.2330028534e-03 2.8614435135e-03 5.3715593399e-03
1.9104003906e+01 8.5670533583e-03 2.9300799943e-03 5.6369733640e-03
1.9165039062e+01 8.9350672740e-03 3.0076486793e-03 5.9274185948e-03
1.9226074219e+01 9.3475224976e-03 3.0957395996e-03 6.2517828980e-03
1.9287109375e+01 9.8017824027e-03 3.1929234306e-03 6.6088589721e-03
1.9348144531e+01 1.0287307882e-02 3.2968284736e-03 6.9904794083e-03
1.9409179688e+01 1.0789576645e-02 3.4050361987e-03 7.3845404460e-03
1.9470214844e+01 1.1285498087e-02 3.5129369589e-03 7.7725611277e-03
1.9531250000e+01 1.1743146047e-02 3.6124744777e-03 8.1306715690e-03
1.9592285156e+01 1.2134119814e-02 3.6952494539e-03 8.4388703599e-03
1.9653320312e+01 1.2445897778e-02 3.7571954334e-03 8.6887023450e-03
1.9714355469e+01 1.2679798115e-02 3.7991255768e-03 8.8806725381e-03
1.9775390625e+01 1.2839276738e-02 3.8228075448e-03 9.0164691932e-03
1.9836425781e+01 1.2920096561e-02 3.8269359583e-03 9.0931606028e-03
1.9897460938e+01 1.2911762815e-02 3.8076179387e-03 9.1041448758e-03
1.9958496094e+01 1.2810580127e-02 3.7634116325e-03 9.0471684948e-03
2.0019531250e+01 1.2625461420e-02 3.6980592905e-03 8.9274021298e-03
2.0080566406e+01 1.2369464715e-02 3.6175711000e-03 8.7518936146e-03
2.0141601562e+01 1.2053220630e-02 3.5266655588e-03 8.5265550717e-03
2.0202636719e+01 1.1682825836e-02 3.4271657448e-03 8.2556600916e-03
2.0263671875e+01 1.1258702837e-02 3.3176801434e-03 7.9410226937e-03
2.0324707031e+01 1.0783914910e-02 3.1964981391e-03 7.5874167707e-03
2.0385742188e+01 1.0274469472e-02 3.0660240134e-03 7.2084454586e-03
2.0446777344e+01 9.7525086060e-03 2.9322194535e-03 6.8202891525e-03
2.0507812500e+01 9.2305783572e-03 2.7995161172e-03 6.4310622400e-03
2.0568847656e+01 8.7104607299e-03 2.6691369838e-03 6.0413237461e-03
2.0629882812e+01 8.1945499365e-03 2.5421600574e-03 5.6523898791e-03
2.0690917969e+01 7.6908757467e-03 2.4209479263e-03 5.2699278205e-03
