# freq_THz  G_total  G_In  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
5.9204101562e+00 2.1159901933e+00 7.9982094185e-01 1.3161692514e+00
5.9814453125e+00 2.5967123006e+00 9.8195974592e-01 1.6147525547e+00
6.0424804688e+00 3.3462496565e+00 1.2543851778e+00 2.0918644787e+00
6.1035156250e+00 3.9795134899e+00 1.4847038334e+00 2.4948096565e+00
6.1645507812e+00 4.3506800065e+00 1.6434716680e+00 2.7072083385e+00
6.2255859375e+00 4.5304543054e+00 1.7463514542e+00 2.7841028512e+00
6.2866210938e+00 4.4883881431e+00 1.7598111918e+00 2.7285769514e+00
6.3476562500e+00 4.2753336157e+00 1.7005445987e+00 2.5747890170e+00
6.4086914062e+00 3.8592652764e+00 1.5582591556e+00 2.3010061208e+00
6.4697265625e+00 3.3209844609e+00 1.3615747671e+00 1.9594096937e+00
6.5307617188e+00 2.7285646752e+00 1.1359988016e+00 1.5925658736e+00
6.5917968750e+00 2.1802270663e+00 9.2105055377e-01 1.2591765125e+00
6.6528320312e+00 1.6786873663e+00 7.1697838943e-01 9.6170897686e-01
6.7138671875e+00 1.2504380011e+00 5.3960732147e-01 7.1083067958e-01
6.7749023438e+00 9.2225280477e-01 4.0125954480e-01 5.2099325997e-01
6.8359375000e+00 6.8382724168e-01 3.0008581469e-01 3.8374142699e-01
6.8969726562e+00 5.2096492708e-01 2.3082178703e-01 2.9014314005e-01
6.9580078125e+00 4.1569908412e-01 1.8634815339e-01 2.2935093073e-01
7.0190429688e+00 3.3914593105e-01 1.5376413319e-01 1.8538179786e-01
7.0800781250e+00 2.8322767173e-01 1.2969498837e-01 1.5353268336e-01
7.1411132812e+00 2.4324209033e-01 1.1250467257e-01 1.3073741776e-01
7.2021484375e+00 2.1402207716e-01 9.9954547227e-02 1.1406752993e-01
7.2631835938e+00 1.8798493790e-01 8.8952325149e-02 9.9032612751e-02
7.3242187500e+00 1.6969681890e-01 8.1088901944e-02 8.8607916959e-02
7.3852539062e+00 1.5347466771e-01 7.4469671025e-02 7.9004996683e-02
7.4462890625e+00 1.3941942439e-01 6.8580435588e-02 7.0838988802e-02
7.5073242188e+00 1.2774783591e-01 6.3700617480e-02 6.4047218426e-02
7.5683593750e+00 1.1758963284e-01 5.9340278334e-02 5.8249354509e-02
7.6293945312e+00 1.0716774061e-01 5.4878778727e-02 5.2288961880e-02
7.6904296875e+00 9.8669576425e-02 5.1382657439e-02 4.7286918987e-02
7.7514648438e+00 9.2220880069e-02 4.8777576657e-02 4.3443303412e-02
7.8125000000e+00 8.4853713778e-02 4.5392768838e-02 3.9460944940e-02
7.8735351562e+00 7.8862629239e-02 4.2818783513e-02 3.6043845725e-02
7.9345703125e+00 7.3926882560e-02 4.0846113745e-02 3.3080768815e-02
7.9956054688e+00 6.9337819534e-02 3.8826412863e-02 3.0511406670e-02
8.0566406250e+00 6.6461378446e-02 3.7689788587e-02 2.8771589858e-02
8.1176757812e+00 6.3311165787e-02 3.6267501430e-02 2.7043664356e-02
8.1787109375e+00 6.0386675889e-02 3.4895019957e-02 2.5491655932e-02
8.2397460938e+00 5.7688014613e-02 3.3758637094e-02 2.3929377519e-02
