# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
1.024192158852368362e-01 1.162519919117203093e+00 1.512493108768501182e+00 1.602713936594732047e+00 1.726413687354995563e+00 2.616617658684786019e+00 3.288351319974177400e+00 4.886641766352609828e+00 4.895028580295386789e+00 5.922709219016434545e+00 5.992800614449512508e+00 6.070782283336299656e+00 6.392388799148087664e+00
1.037493355720580934e-01 1.177474591250875058e+00 1.500738731577900831e+00 1.613227506063509731e+00 1.735860753950713153e+00 2.618102014846650949e+00 3.304228989421948981e+00 4.890708666778799341e+00 4.911647966355125128e+00 5.911898289065640633e+00 5.974026344700812174e+00 6.066497948611831781e+00 6.388406458175689195e+00
1.050794552588793507e-01 1.192067008159656938e+00 1.489178570166645121e+00 1.623316294175542351e+00 1.744932480553706755e+00 2.619005977419272213e+00 3.319514146184402215e+00 4.894917640864752784e+00 4.928697211334337247e+00 5.901224851082017331e+00 5.955139852172380621e+00 6.062362025728869952e+00 6.384563340227716211e+00
1.064095749457006079e-01 1.206269436527910743e+00 1.477853145498872811e+00 1.632974917107188562e+00 1.753623076368885370e+00 2.619381633666202802e+00 3.334185987850199151e+00 4.899247482660384456e+00 4.946128151320192678e+00 5.890715875215391861e+00 5.936163596275228826e+00 6.058379818160939401e+00 6.380864243357890153e+00
1.077396946325218652e-01 1.220053287184586166e+00 1.466801719068257182e+00 1.642198152617476481e+00 1.761926960027613509e+00 2.619282035006762044e+00 3.348225761268212253e+00 4.903674754742559649e+00 4.963889327617221348e+00 5.880399820516166720e+00 5.917123288288389737e+00 6.054556474833720614e+00 6.377313819475625145e+00
1.090698143193431224e-01 1.233389190016135784e+00 1.456062305464899120e+00 1.650980950696352645e+00 1.769838766388892592e+00 2.618760894471267253e+00 3.361616650783675997e+00 4.908173804762246739e+00 4.981925595372420190e+00 5.870306623115769007e+00 5.898048509828805130e+00 6.050896979004518172e+00 6.373916564892499359e+00
1.103999340061643797e-01 1.246247090190117701e+00 1.445671666023654600e+00 1.659318444135094550e+00 1.777353353401356806e+00 2.617872281379507005e+00 3.374343666741625558e+00 4.912716817244924705e+00 5.000177568466822819e+00 5.860467659259913198e+00 5.878973476592865843e+00 6.047406137242904656e+00 6.370676810991024119e+00
1.117300536929856231e-01 1.258596367965929996e+00 1.435665284607460901e+00 1.667205958970577884e+00 1.784465808978714652e+00 2.616670311766739587e+00 3.386393533487578988e+00 4.917273906209383760e+00 5.018580863067587217e+00 5.850915677600436737e+00 5.859937984166163183e+00 6.044088568560830765e+00 6.367598715053924607e+00
1.130601733798068803e-01 1.270405984131810717e+00 1.426077326755720742e+00 1.674639024753718619e+00 1.791171457841174819e+00 2.615208832716721776e+00 3.397754576387060688e+00 4.921813254339794774e+00 5.037065094361998341e+00 5.840988581174045180e+00 5.841684694712134807e+00 6.040948693741715836e+00 6.364686251293043107e+00
1.143902930666281376e-01 1.281644652708981980e+00 1.416940583607812387e+00 1.681613384591433169e+00 1.797465868275688106e+00 2.613541098652139016e+00 3.408416607694635836e+00 4.926301304398435832e+00 5.055552572432572056e+00 5.822180024115547248e+00 5.832809847577034468e+00 6.037990724919266583e+00 6.361943202117400276e+00
