# frequency_THz total_states_per_THz_per_atom In_contribution Se_contribution
1.760000000000002007e+00 6.858607722442364718e-01 3.816516925421474804e-01 3.042090797020883253e-01
1.780000000000002025e+00 6.613254673821049590e-01 3.699967572603544141e-01 2.913287101217505448e-01
1.800000000000002043e+00 6.350704405330541702e-01 3.571492447257329506e-01 2.779211958073207756e-01
1.820000000000002061e+00 6.083398048823059900e-01 3.437902520774190340e-01 2.645495528048871781e-01
1.840000000000002078e+00 5.821270371121524123e-01 3.304792803403275303e-01 2.516477567718250485e-01
1.860000000000002096e+00 5.571174027797468620e-01 3.176214205826172199e-01 2.394959821971295033e-01
1.880000000000002114e+00 5.337093101927241623e-01 3.054747253047484512e-01 2.282345848879756833e-01
1.900000000000002132e+00 5.120837468411497673e-01 2.941827633085358773e-01 2.179009835326135291e-01
1.920000000000002149e+00 4.922880062065614348e-01 2.838155387388842654e-01 2.084724674676772527e-01
1.940000000000002167e+00 4.743078202521398001e-01 2.744057010775685090e-01 1.999021191745716242e-01
1.960000000000002185e+00 4.581150432043078480e-01 2.659734168045669311e-01 1.921416263997408613e-01
1.980000000000002203e+00 4.436903260134421045e-01 2.585394244189762047e-01 1.851509015944657333e-01
2.000000000000002220e+00 4.310279476678646193e-01 2.521296565471904394e-01 1.788982911206742354e-01
2.020000000000002238e+00 4.201320769548415046e-01 2.467757961662951638e-01 1.733562807885461188e-01
2.040000000000002256e+00 4.110114360117846366e-01 2.425148211985929669e-01 1.684966148131913088e-01
2.060000000000002274e+00 4.036749498575387674e-01 2.393881770417467802e-01 1.642867728157920704e-01
2.080000000000002292e+00 3.981268279484702077e-01 2.374389558344426054e-01 1.606878721140274635e-01
2.100000000000002309e+00 3.943573001769795638e-01 2.367043241879889237e-01 1.576529759889910287e-01
2.120000000000002327e+00 3.923256989921395377e-01 2.372009719692205754e-01 1.551247270229187403e-01
2.140000000000002345e+00 3.919356794309910574e-01 2.389036363469687063e-01 1.530320430840222401e-01
2.160000000000002363e+00 3.930072985927611229e-01 2.417203766183561031e-01 1.512869219744049087e-01
2.180000000000002380e+00 3.952559743999380926e-01 2.454722919811811455e-01 1.497836824187568916e-01
2.200000000000002398e+00 3.982920344122117262e-01 2.498883557350819740e-01 1.484036786771300298e-01
2.220000000000002416e+00 4.016545281096642883e-01 2.546263308767247602e-01 1.470281972329395836e-01
2.240000000000002434e+00 4.048876149336526065e-01 2.593269879157456548e-01 1.455606270179070072e-01
2.260000000000002451e+00 4.076569210797343357e-01 2.637007183107467623e-01 1.439562027689876011e-01
2.280000000000002469e+00 4.098885570083836694e-01 2.676343380696623031e-01 1.422542189387213107e-01
2.300000000000002487e+00 4.118988359635242236e-01 2.712942686055739294e-01 1.406045673579505995e-01
2.320000000000002505e+00 4.144732092159524872e-01 2.751942926085177432e-01 1.392789166074347718e-01
2.340000000000002522e+00 4.188533228570659461e-01 2.801955185177990026e-01 1.386578043392666937e-01
2.360000000000002540e+00 4.266041276433501506e-01 2.874153396426580298e-01 1.391887880006922873e-01
2.380000000000002558e+00 4.393579517215340235e-01 2.980407339774497899e-01 1.413172177440845390e-01
2.400000000000002576e+00 4.584648694634779753e-01 3.130659494918550112e-01 1.453989199716232972e-01
2.420000000000002593e+00 4.846109267654795105e-01 3.329997301136521370e-01 1.516111966518274845e-01
2.440000000000002611e+00 5.174886494257379121e-01 3.576057961462997259e-01 1.598828532794381307e-01
2.460000000000002629e+00 5.556092915132374577e-01 3.857457688855225331e-01 1.698635226277150911e-01
2.480000000000002647e+00 5.963281607647499261e-01 4.153818642570012987e-01 1.809462965077492380e-01
2.500000000000002665e+00 6.361132451384915454e-01 4.437671925221918778e-01 1.923460526162992790e-01
2.520000000000002682e+00 6.710303652274969277e-01 4.678091991038084152e-01 2.032211661236880684e-01
2.540000000000002700e+00 6.973589602085870087e-01 4.845464487491588645e-01 2.128125114594286438e-01
2.560000000000002718e+00 7.122089655233883043e-01 4.916434346549630741e-01 2.205655308684252303e-01
2.580000000000002736e+00 7.139971157515999645e-01 4.877945679443661531e-01 2.262025478072342555e-01
2.600000000000002753e+00 7.026685600167625889e-01 4.729439288548360487e-01 2.297246311619265402e-01
2.620000000000002771e+00 6.796124249681136931e-01 4.482698975994388046e-01 2.313425273686750827e-01
2.640000000000002789e+00 6.473004078157655883e-01 4.159421349331733908e-01 2.313582728825928081e-01
2.660000000000002807e+00 6.087502872493242290e-01 3.787149924506810206e-01 2.300352947986423202e-01
2.680000000000002824e+00 5.669574367001328774e-01 3.394586565885872043e-01 2.274987801115460062e-01
2.700000000000002842e+00 5.244339003128020149e-01 3.007361045384272513e-01 2.236977957743750134e-01
2.720000000000002860e+00 4.829494443334727549e-01 2.645099658516807950e-01 2.184394784817921265e-01
2.740000000000002878e+00 4.435001137568138074e-01 2.320188408538909064e-01 2.114812729029229843e-01
2.760000000000002895e+00 4.064622855816082403e-01 2.038137404758038618e-01 2.026485451058044895e-01
2.780000000000002913e+00 3.718460852736630295e-01 1.799077373341725350e-01 1.919383479394903280e-01
2.800000000000002931e+00 3.395522608389478503e-01 1.599751050255486529e-01 1.795771558133993362e-01
2.820000000000002949e+00 3.095583258251184411e-01 1.435409866742591856e-01 1.660173391508593110e-01
2.840000000000002967e+00 2.819995943869260668e-01 1.301224867134579966e-01 1.518771076734684589e-01
2.860000000000002984e+00 2.571516411192143470e-01 1.193071086932884634e-01 1.378445324259260363e-01
2.880000000000003002e+00 2.353491441837431697e-01 1.107756480611627736e-01 1.245734961225803961e-01
2.900000000000003020e+00 2.168860191458712450e-01 1.042887839358404845e-01 1.125972352100307605e-01
2.920000000000003038e+00 2.019350770652948435e-01 9.965900807762659297e-02 1.022760689876685281e-01
2.940000000000003055e+00 1.905090584736928716e-01 9.672484825918914453e-02 9.378421021450362993e-02
2.960000000000003073e+00 1.824668763686397577e-01 9.533658657076024556e-02 8.713028979787953987e-02
2.980000000000003091e+00 1.775553023816490716e-01 9.535534245484322824e-02 8.219995992680605157e-02
3.000000000000003109e+00 1.754697446669791494e-01 9.666247508038665337e-02 7.880726958659262094e-02
3.020000000000003126e+00 1.759175930454048575e-01 9.917413091308711903e-02 7.674346213231758584e-02
3.040000000000003144e+00 1.786713635351498963e-01 1.028556839273350176e-01 7.581567960781492033e-02
3.060000000000003162e+00 1.836037277371947718e-01 1.077316670482855732e-01 7.587206068890905986e-02
3.080000000000003180e+00 1.907004290974057270e-01 1.138876763296644279e-01 7.681275276774121585e-02
3.100000000000003197e+00 2.000493488781536766e-01 1.214612994099589782e-01 7.858804946819494819e-02
