# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.1779785156e+01 1.3031684060e+00 4.1608523114e-01 8.8708317482e-01
1.1840820312e+01 1.1221576365e+00 3.6430856322e-01 7.5784907325e-01
1.1901855469e+01 1.0130286717e+00 3.3411743816e-01 6.7891123352e-01
1.1962890625e+01 8.6947832372e-01 2.9067184233e-01 5.7880648139e-01
1.2023925781e+01 7.0710547658e-01 2.3822200880e-01 4.6888346778e-01
1.2084960938e+01 5.1145757224e-01 1.7227990005e-01 3.3917767219e-01
1.2145996094e+01 3.5642847514e-01 1.1978557532e-01 2.3664289982e-01
1.2207031250e+01 2.5001047715e-01 8.3554073029e-02 1.6645640412e-01
1.2268066406e+01 1.8837116898e-01 6.2677124874e-02 1.2569404411e-01
1.2329101562e+01 1.5375575033e-01 5.1128141466e-02 1.0262760886e-01
1.2390136719e+01 1.3020710180e-01 4.3315980530e-02 8.6891121265e-02
1.2451171875e+01 1.1135852640e-01 3.7159694675e-02 7.4198831723e-02
1.2512207031e+01 9.9366230021e-02 3.3378947947e-02 6.5987282074e-02
1.2573242188e+01 8.7964484086e-02 2.9707627982e-02 5.8256856105e-02
1.2634277344e+01 7.9734310927e-02 2.7052862170e-02 5.2681448757e-02
1.2695312500e+01 7.3018188193e-02 2.4897646838e-02 4.8120541356e-02
1.2756347656e+01 6.6879623983e-02 2.2967028625e-02 4.3912595358e-02
1.2817382812e+01 6.1788170384e-02 2.1381671523e-02 4.0406498860e-02
1.2878417969e+01 5.6610416961e-02 1.9731896000e-02 3.6878520962e-02
1.2939453125e+01 5.2752671915e-02 1.8459043145e-02 3.4293628770e-02
1.3000488281e+01 4.9969674039e-02 1.7626777195e-02 3.2342896844e-02
1.3061523438e+01 4.6968856357e-02 1.6672529739e-02 3.0296326618e-02
1.3122558594e+01 4.3995541822e-02 1.5720193648e-02 2.8275348175e-02
1.3183593750e+01 4.1170965280e-02 1.4819547629e-02 2.6351417651e-02
1.3244628906e+01 3.9314509894e-02 1.4209155188e-02 2.5105354707e-02
1.3305664062e+01 3.7131464440e-02 1.3489604632e-02 2.3641859808e-02
1.3366699219e+01 3.5451588306e-02 1.3042274481e-02 2.2409313825e-02
1.3427734375e+01 3.3969175040e-02 1.2543885494e-02 2.1425289547e-02
1.3488769531e+01 3.2240476521e-02 1.1957365344e-02 2.0283111177e-02
1.3549804688e+01 3.0812086088e-02 1.1507611110e-02 1.9304474978e-02
1.3610839844e+01 2.9306508944e-02 1.1004125690e-02 1.8302383254e-02
1.3671875000e+01 2.8088659215e-02 1.0610843688e-02 1.7477815528e-02
1.3732910156e+01 2.7242035720e-02 1.0371418529e-02 1.6870617190e-02
1.3793945312e+01 2.6273031690e-02 1.0101319290e-02 1.6171712399e-02
1.3854980469e+01 2.4984625678e-02 9.6687154806e-03 1.5315910197e-02
1.3916015625e+01 2.4135101826e-02 9.3861768814e-03 1.4748924944e-02
1.3977050781e+01 2.3395712874e-02 9.1825247089e-03 1.4213188165e-02
1.4038085938e+01 2.2623095869e-02 8.9536775569e-03 1.3669418312e-02
1.4099121094e+01 2.1709522110e-02 8.6386389568e-03 1.3070883153e-02
1.4160156250e+01 2.0786439618e-02 8.3353452453e-03 1.2451094373e-02
1.4221191406e+01 2.0205445329e-02 8.1229421423e-03 1.2082503187e-02
1.4282226562e+01 1.9615337236e-02 7.9460821863e-03 1.1669255050e-02
1.4343261719e+01 1.8930336455e-02 7.7137249236e-03 1.1216611531e-02
1.4404296875e+01 1.8186457243e-02 7.4561629162e-03 1.0730294326e-02
1.4465332031e+01 1.7621074502e-02 7.2719661428e-03 1.0349108359e-02
1.4526367188e+01 1.7042801932e-02 7.0541277397e-03 9.9886741924e-03
1.4587402344e+01 1.6723238791e-02 6.9685900745e-03 9.7546487164e-03
1.4648437500e+01 1.6391197518e-02 6.8794095783e-03 9.5117879400e-03
1.4709472656e+01 1.5884233111e-02 6.7008467378e-03 9.1833863731e-03
1.4770507812e+01 1.5386820986e-02 6.5162983500e-03 8.8705226358e-03
1.4831542969e+01 1.5053851395e-02 6.3883163080e-03 8.6655350869e-03
1.4892578125e+01 1.4670426162e-02 6.2294582460e-03 8.4409679164e-03
1.4953613281e+01 1.4152401271e-02 6.0395637670e-03 8.1128375040e-03
1.5014648438e+01 1.3937993426e-02 5.9805282940e-03 7.9574651318e-03
1.5075683594e+01 1.3645050048e-02 5.8770425507e-03 7.7680074978e-03
1.5136718750e+01 1.3247041515e-02 5.7108430310e-03 7.5361984837e-03
1.5197753906e+01 1.2835992648e-02 5.5610079670e-03 7.2749846811e-03
1.5258789062e+01 1.2521804540e-02 5.4487953151e-03 7.0730092253e-03
1.5319824219e+01 1.2277310735e-02 5.3613180775e-03 6.9159926575e-03
1.5380859375e+01 1.1967621153e-02 5.2114223382e-03 6.7561988149e-03
1.5441894531e+01 1.1626992739e-02 5.0922563582e-03 6.5347363813e-03
1.5502929688e+01 1.1343449681e-02 4.9890574998e-03 6.3543921811e-03
