# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
5.9814453125e+00 1.4817831134e-01 9.8071067518e-02 5.0107243825e-02
6.0424804688e+00 1.2933974647e-01 8.3549726787e-02 4.5790019679e-02
6.1035156250e+00 1.1561604816e-01 7.2792803165e-02 4.2823244994e-02
6.1645507812e+00 1.0534133453e-01 6.4574456986e-02 4.0766877549e-02
6.2255859375e+00 9.7481542438e-02 5.8155520070e-02 3.9326022369e-02
6.2866210938e+00 9.1263887730e-02 5.2991624423e-02 3.8272263306e-02
6.3476562500e+00 8.6152952739e-02 4.8694013929e-02 3.7458938810e-02
6.4086914062e+00 8.1878276826e-02 4.5047029936e-02 3.6831246891e-02
6.4697265625e+00 7.8320438794e-02 4.1934079384e-02 3.6386359410e-02
6.5307617188e+00 7.5394504937e-02 3.9267737671e-02 3.6126767266e-02
6.5917968750e+00 7.3038294923e-02 3.6988175865e-02 3.6050119058e-02
6.6528320312e+00 7.1221045307e-02 3.5062408772e-02 3.6158636535e-02
6.7138671875e+00 6.9911911362e-02 3.3458474590e-02 3.6453436772e-02
6.7749023438e+00 6.9047836192e-02 3.2125209731e-02 3.6922626460e-02
6.8359375000e+00 6.8544872039e-02 3.0998681088e-02 3.7546190951e-02
6.8969726562e+00 6.8340107812e-02 3.0033024366e-02 3.8307083445e-02
6.9580078125e+00 6.8410383631e-02 2.9215699597e-02 3.9194684035e-02
7.0190429688e+00 6.8745338285e-02 2.8539981056e-02 4.0205357229e-02
7.0800781250e+00 6.9313120459e-02 2.7976379173e-02 4.1336741286e-02
7.1411132812e+00 7.0088661644e-02 2.7499394732e-02 4.2589266912e-02
7.2021484375e+00 7.1129585931e-02 2.7135308984e-02 4.3994276948e-02
7.2631835938e+00 7.2580133993e-02 2.6948014266e-02 4.5632119728e-02
7.3242187500e+00 7.4592889862e-02 2.6985844590e-02 4.7607045272e-02
7.3852539062e+00 7.7286766441e-02 2.7271399947e-02 5.0015366495e-02
7.4462890625e+00 8.0768559068e-02 2.7826253157e-02 5.2942305910e-02
7.5073242188e+00 8.5143695590e-02 2.8677287760e-02 5.6466407830e-02
7.5683593750e+00 9.0495488618e-02 2.9844570552e-02 6.0650918065e-02
7.6293945312e+00 9.6884653151e-02 3.1347810955e-02 6.5536842196e-02
