# frequency_THz total_states_per_THz_per_atom Ga_contribution S_contribution
1.300000000000001599e+00 1.187814133886768569e-01 8.635273589631875524e-02 3.242867749235821273e-02
1.320000000000001616e+00 1.203881959600444779e-01 8.765951143639366672e-02 3.272868452365085279e-02
1.340000000000001634e+00 1.220751767188423820e-01 8.902872635805422763e-02 3.304645036078811271e-02
1.360000000000001652e+00 1.238777588837354088e-01 9.048493151972764048e-02 3.339282736400771973e-02
1.380000000000001670e+00 1.258202397028596320e-01 9.204487476207201535e-02 3.377536494078763052e-02
1.400000000000001688e+00 1.279110889312166932e-01 9.371414848919290552e-02 3.419694044202377381e-02
1.420000000000001705e+00 1.301435260917142289e-01 9.548746790169981846e-02 3.465605819001431331e-02
1.440000000000001723e+00 1.325022770883966805e-01 9.735319739807760109e-02 3.514907969031905860e-02
1.460000000000001741e+00 1.349752342310076847e-01 9.930126435647983196e-02 3.567396987452789436e-02
1.480000000000001759e+00 1.375667101979373697e-01 1.013322067966385132e-01 3.623450340129888425e-02
1.500000000000001776e+00 1.403078940945111097e-01 1.034643655060590028e-01 3.684352858845217626e-02
1.520000000000001794e+00 1.432605282332204411e-01 1.057365233337524274e-01 3.752400489946801365e-02
1.540000000000001812e+00 1.465117076344699121e-01 1.082045940301347431e-01 3.830711360433521062e-02
1.560000000000001830e+00 1.501604378042453170e-01 1.109328312657615473e-01 3.922760653848372803e-02
1.580000000000001847e+00 1.542991801153816567e-01 1.139817760485737491e-01 4.031740406680785205e-02
1.600000000000001865e+00 1.589951233601320513e-01 1.173961396427887077e-01 4.159898371734332967e-02
1.620000000000001883e+00 1.642758409094363659e-01 1.211956985478156446e-01 4.308014236162074212e-02
1.640000000000001901e+00 1.701224561106688682e-01 1.253711742120817707e-01 4.475128189858706973e-02
1.660000000000001918e+00 1.764711195104140262e-01 1.298854733168510189e-01 4.658564619356306280e-02
1.680000000000001936e+00 1.832214038040761162e-01 1.346792089174625451e-01 4.854219488661362658e-02
1.700000000000001954e+00 1.902488907752026837e-01 1.396786123347396602e-01 5.057027844046307896e-02
1.720000000000001972e+00 1.974190604936714444e-01 1.448039594260667473e-01 5.261510106760460687e-02
1.740000000000001990e+00 2.046003856718912328e-01 1.499772886157300644e-01 5.462309705616123084e-02
1.760000000000002007e+00 2.116757140935461023e-01 1.551290547805014852e-01 5.654665931304467263e-02
1.780000000000002025e+00 2.185519546218495091e-01 1.602039867195831913e-01 5.834796790226629698e-02
1.800000000000002043e+00 2.251683613153987462e-01 1.651665206957265986e-01 6.000184061967221705e-02
1.820000000000002061e+00 2.315033257756274887e-01 1.700057874032374350e-01 6.149753837239001208e-02
1.840000000000002078e+00 2.375789003496057150e-01 1.747395225706120381e-01 6.283937777899366306e-02
1.860000000000002096e+00 2.434618152944337810e-01 1.794158590563654232e-01 6.404595623806838556e-02
1.880000000000002114e+00 2.492599477629902083e-01 1.841120629893053806e-01 6.514788477368488318e-02
1.900000000000002132e+00 2.551141480316434507e-01 1.889299716353942948e-01 6.618417639624921134e-02
1.920000000000002149e+00 2.611867293938728296e-01 1.939889485980858808e-01 6.719778079578675456e-02
1.940000000000002167e+00 2.676491950147729670e-01 1.994181444829311034e-01 6.823105053184197466e-02
1.960000000000002185e+00 2.746722687013353204e-01 2.053502455123297488e-01 6.932202318900568261e-02
1.980000000000002203e+00 2.824205898617459520e-01 2.119183704553949388e-01 7.050221940635117979e-02
2.000000000000002220e+00 2.910525027792576491e-01 2.192563037273637105e-01 7.179619905189382756e-02
2.020000000000002238e+00 3.007226596522589723e-01 2.275001562299875102e-01 7.322250342227126785e-02
2.040000000000002256e+00 3.115824962828482314e-01 2.367874641279173464e-01 7.479503215493130130e-02
2.060000000000002274e+00 3.237720511295867909e-01 2.472484792692671851e-01 7.652357186031982783e-02
2.080000000000002292e+00 3.373970198032714141e-01 2.589847436828563998e-01 7.841227612041468120e-02
2.100000000000002309e+00 3.524879069588868763e-01 2.720324531157812809e-01 8.045545384310565096e-02
2.120000000000002327e+00 3.689435094169123408e-01 2.863125406335427225e-01 8.263096878336981255e-02
2.140000000000002345e+00 3.864677344684760985e-01 3.015750838080933915e-01 8.489265066038245711e-02
2.160000000000002363e+00 4.045151180800099500e-01 3.173510928000553566e-01 8.716402527995439908e-02
2.180000000000002380e+00 4.222641128054479553e-01 3.329280791524211747e-01 8.933603365302680843e-02
2.200000000000002398e+00 4.386362500648453011e-01 3.473652614714822229e-01 9.127098859336331416e-02
2.220000000000002416e+00 4.523726799032388168e-01 3.595588791150084451e-01 9.281380078823056601e-02
2.240000000000002434e+00 4.621680912341901704e-01 3.683583282386812541e-01 9.380976299550891628e-02
2.260000000000002451e+00 4.668482013797398689e-01 3.727217984118433858e-01 9.412640296789651084e-02
2.280000000000002469e+00 4.655647198624610628e-01 3.718890599643857042e-01 9.367565989807573323e-02
2.300000000000002487e+00 4.579748098807108203e-01 3.655424904946723563e-01 9.243231938603832520e-02
2.320000000000002505e+00 4.443730341489022240e-01 3.539276713813331865e-01 9.044536276756912074e-02
2.340000000000002522e+00 4.257525209725674387e-01 3.379121206630701368e-01 8.784040030949760713e-02
2.360000000000002540e+00 4.037858951561912324e-01 3.189727281927453584e-01 8.481316696344626260e-02
2.380000000000002558e+00 3.807308959344315458e-01 2.991152796277085635e-01 8.161561630672312107e-02
2.400000000000002576e+00 3.592759726335945647e-01 2.807389181191131677e-01 7.853705451448131369e-02
2.420000000000002593e+00 3.423446522494791311e-01 2.664617745568273466e-01 7.588287769265168736e-02
2.440000000000002611e+00 3.328741975269359221e-01 2.589212537062819397e-01 7.395294382065417671e-02
2.460000000000002629e+00 3.335771577451416281e-01 2.605564199016116578e-01 7.302073784353008135e-02
