# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
4.661908710248415660e-02 6.209500577072750716e-01 1.075036540636624904e+00 1.553825214235495356e+00 1.718925420026567563e+00 2.279269605036237767e+00 3.184917337770970303e+00 6.129845730179126484e+00 6.183078207862996223e+00 7.790397817896359101e+00 7.830877603945342713e+00 8.563731779732995264e+00 8.646875602552576368e+00
4.803178671165034275e-02 6.469203445097853056e-01 1.105639592179579189e+00 1.572433417396767785e+00 1.758227379875074270e+00 2.323836042022833226e+00 3.190694070042789932e+00 6.121261628630374041e+00 6.176769056650255330e+00 7.779760896600276254e+00 7.823438614585930040e+00 8.551870332906974070e+00 8.640634622675548826e+00
4.944448632081652889e-02 6.730551575537861986e-01 1.136056165386267525e+00 1.591203900444309705e+00 1.796028129580951926e+00 2.368193782242189016e+00 3.197511475415016236e+00 6.112659213923918422e+00 6.170397466810011444e+00 7.768791095532226798e+00 7.815844413109951816e+00 8.539658728842404400e+00 8.634268962616419074e+00
5.085718592998270809e-02 6.993514435390070227e-01 1.166279378426579028e+00 1.610116284837969536e+00 1.832242065502865724e+00 2.412294881335081076e+00 3.205451806862175346e+00 6.104062519362156713e+00 6.163974886687958232e+00 7.757487722998342328e+00 7.808100950500282522e+00 8.527097889461407121e+00 8.627783983259101674e+00
5.226988553914889424e-02 7.258062199879423693e-01 1.196302235679077786e+00 1.629150657464290664e+00 1.866786351844233360e+00 2.456092151539726931e+00 3.214594584699930202e+00 6.095496679880589852e+00 6.157513163325310401e+00 7.745850157542402137e+00 7.800214354274893402e+00 8.514188851012482573e+00 8.621185186373551801e+00
5.368258514831508038e-02 7.524164850465511201e-01 1.226117625899926011e+00 1.648287561670568113e+00 1.899582961718774055e+00 2.499539001970279894e+00 3.225014529974557398e+00 6.086987949790943375e+00 6.151024551427600073e+00 7.733877854857047041e+00 7.792190928027846297e+00 8.500932772749271393e+00 8.614478212646442756e+00
5.509528475748126652e-02 7.791791398343590469e-01 1.255718320578533165e+00 1.667507986615273552e+00 1.930560905884078693e+00 2.542589297642861457e+00 3.236779309368742030e+00 6.078563715556525970e+00 6.144521722941115094e+00 7.721570354852912210e+00 7.784037150822360474e+00 8.487330946118062158e+00 8.607668839548242801e+00
5.650798436664745267e-02 8.060909213907456738e-01 1.285096972494964573e+00 1.686793355305550968e+00 1.959658543151370225e+00 2.585197237020657290e+00 3.249947197564531098e+00 6.070252502391980443e+00 6.138017777233319094e+00 7.708927288896187946e+00 7.775759676420761934e+00 8.473384804498785172e+00 8.600762979026928434e+00
5.792068397581363881e-02 8.331483445290501777e-01 1.314246114495045248e+00 1.706125511651199522e+00 1.986825833839827471e+00 2.627317248166032293e+00 3.264564795653473794e+00 6.062083973322419439e+00 6.131526251863663290e+00 7.695948387226809295e+00 7.767365332335183226e+00 8.459095933549951596e+00 8.593766675018407852e+00
5.933338358497981802e-02 8.603476511370743429e-01 1.343158158500108668e+00 1.725486706826158789e+00 2.012026375609811346e+00 2.668903903890516016e+00 3.280664966228981960e+00 6.054088919175272920e+00 6.125061133919269096e+00 7.682633486571546655e+00 7.758861118682061075e+00 8.444466082213914149e+00 8.586686100763440521e+00
6.074608319414600416e-02 8.876847656587482094e-01 1.371825394769090822e+00 1.744859585192813700e+00 2.035239056318828066e+00 2.709911856579936718e+00 3.298265150499861686e+00 6.046299237816626260e+00 6.118636871874964633e+00 7.668982537968392243e+00 7.750254206822633662e+00 8.429497174445989671e+00 8.579527555920682502e+00
6.215878280331219030e-02 9.151552556582518427e-01 1.400239991431605269e+00 1.764227170011676948e+00 2.056459175757355151e+00 2.750295793637109298e+00 3.317366215567554288e+00 6.038747900788744793e+00 6.112268387919184143e+00 7.654995614820707672e+00 7.741551937770616121e+00 8.414191321738488938e+00 8.572297463465277545e+00
6.357148241247838338e-02 9.427542965096640248e-01 1.428393994311545123e+00 1.783572849129470450e+00 2.075698927757529955e+00 2.790010414721958210e+00 3.337951940393432793e+00 6.031468905364866906e+00 6.105971090665272882e+00 7.640672921202206425e+00 7.732761820347541892e+00 8.398550836519694585e+00 8.565002366362447717e+00
6.498418202164457647e-02 9.704766393756318887e-01 1.456279327061489992e+00 1.802880360811604410e+00 2.092987191746321862e+00 2.829010432169519085e+00 3.359989191428483402e+00 6.024497209921295671e+00 6.099760888141482873e+00 7.626014800436272445e+00 7.723891529065250339e+00 8.382578246517436327e+00 8.557648924005276214e+00
6.639688163081076955e-02 9.983165817393703234e-01 1.483887791629082242e+00 1.822133779861269121e+00 2.108368649392559302e+00 2.867250596119507833e+00 3.383428772328810563e+00 6.017868650447621981e+00 6.093654200921591269e+00 7.611021743976041698e+00 7.714948901714328677e+00 8.366276310188194287e+00 8.550243908405988691e+00
6.780958123997694875e-02 1.026267939839049292e+00 1.511211069077399438e+00 1.841317504145832507e+00 2.121902306239524805e+00 2.904685745983664358e+00 3.408206867972733090e+00 6.011619835987382032e+00 6.087667975220835359e+00 7.595694400614559250e+00 7.705941936636401479e+00 8.349648033325074437e+00 8.542794200130073179e+00
6.922228084914314183e-02 1.054324022424351082e+00 1.538240720781818727e+00 1.860416241632152579e+00 2.133659549347066697e+00 2.941270889893783824e+00 3.434246951904055933e+00 6.005788020840222785e+00 6.081819695738164278e+00 7.580033586057830064e+00 7.696878789657584541e+00 8.332696686972388633e+00 8.535306783962703037e+00
7.063498045830933492e-02 1.082477605312839763e+00 1.564968190026848616e+00 1.879414998015878524e+00 2.143721902533506363e+00 2.976961313697895850e+00 3.461461995807641134e+00 6.000410951479028476e+00 6.076127397974462774e+00 7.564040292897048268e+00 7.687767770659658773e+00 8.315425826790344033e+00 8.527788744296996626e+00
7.204768006747552800e-02 1.110720906271801756e+00 1.591384804026619859e+00 1.898299065014821041e+00 2.152178648250439252e+00 3.011712720887462336e+00 3.489756812236835870e+00 5.995526686359808011e+00 6.070609679697192007e+00 7.547715701020384138e+00 7.678617339764989502e+00 8.297839314031978830e+00 8.520247260234089737e+00
7.346037967664172108e-02 1.139045559789394924e+00 1.617481776393439485e+00 1.917054009383760693e+00 2.159124471747059015e+00 3.045481404528285196e+00 3.519030375253053400e+00 5.991173387144681506e+00 6.065285711153286741e+00 7.531061188509108106e+00 7.669436103110848890e+00 8.279941338314873889e+00 8.512689600385231259e+00
7.487307928580791416e-02 1.167442591329750812e+00 1.643250210079032714e+00 1.935665662696591793e+00 2.164657254761253924e+00 3.078224451818317942e+00 3.549177992131502979e+00 5.987389080333393565e+00 6.060175243554128066e+00 7.514078343067778221e+00 7.660232808188333742e+00 8.261736442393921465e+00 8.505123117366572671e+00
7.628577889497410724e-02 1.195902390690446904e+00 1.668681100813308227e+00 1.954120111931945791e+00 2.168876109727910784e+00 3.109899981296952109e+00 3.580093235617152647e+00 5.984211388916214069e+00 6.055298615268108975e+00 7.496768974043739320e+00 7.651016338720921794e+00 8.243229549168152204e+00 8.497555241977856610e+00
7.769847850414030033e-02 1.224414684098906969e+00 1.693765341065488483e+00 1.972403690889763528e+00 2.171879708187470115e+00 3.140467411980125689e+00 3.611669583616299306e+00 5.981677234423204759e+00 6.050676755057507350e+00 7.479135125097377212e+00 7.641795709057790376e+00 8.224425991185146501e+00 8.489993477056938076e+00
7.911117811330649341e-02 1.252968504697578256e+00 1.718493724552322854e+00 1.990502972458786601e+00 2.173764923784148095e+00 3.169887762799775910e+00 3.643801746605765501e+00 5.979822510645421474e+00 6.046331181587188297e+00 7.461179087591708559e+00 7.632580058056944949e+00 8.205331542941324940e+00 8.482445391002716661e+00
8.052387772247268649e-02 1.281552161077005314e+00 1.742856951317777625e+00 2.008404761748448841e+00 2.174625783897401909e+00 3.198123979703289432e+00 3.676386689500032112e+00 5.978681731323913340e+00 6.042283998313990878e+00 7.442903414777859439e+00 7.623378642433857877e+00 8.185952456316094583e+00 8.474918610959974785e+00
8.193657733163886570e-02 1.310153203522236742e+00 1.766845633407824634e+00 2.026096090092662116e+00 2.174552705519613216e+00 3.225141286649626515e+00 3.709324373266530639e+00 5.978287655210193563e+00 6.038557882738339266e+00 7.424310936862299037e+00 7.614200829551625915e+00 8.166295499522819412e+00 8.467420815660720024e+00
8.334927694080505878e-02 1.338758387642053238e+00 1.790450301163364788e+00 2.043564209928277808e+00 2.173631980009114617e+00 3.250907555570590191e+00 3.742518252687831559e+00 5.978670893050167301e+00 6.035176068866561216e+00 7.405404777052488896e+00 7.605056089629770533e+00 8.146368000011339205e+00 8.459959727917578221e+00
8.476197654997125186e-02 1.367353635053169647e+00 1.813661410152918707e+00 2.060796590546164708e+00 2.171945466513294676e+00 3.275393689207771519e+00 3.775875571629033978e+00 5.979859502170931762e+00 6.032162321596537424e+00 7.386188368689985850e+00 7.595953987349705727e+00 8.126177891815077103e+00 8.452543106766228220e+00
8.617467615913744494e-02 1.395923990794676328e+00 1.836469348765470855e+00 2.077780914709028703e+00 2.169570453570189628e+00 3.298574009661525253e+00 3.809307497576895241e+00 5.981878575382025609e+00 6.029540901605751735e+00 7.366665473594945723e+00 7.586904172836526961e+00 8.105733767902709275e+00 8.445178739255110756e+00
8.758737576830363802e-02 1.424453577151717498e+00 1.858864446481996335e+00 2.094505076126407239e+00 2.166579651107764182e+00 3.320426644578020170e+00 3.842729134616635900e+00 5.984749831757401495e+00 6.027336519195821474e+00 7.346840201763409794e+00 7.577916371998433931e+00 8.085044938170145912e+00 8.437874431882335102e+00
8.900007537746983111e-02 1.452925543574000056e+00 1.880836982842084559e+00 2.110957177773968407e+00 2.163041279468960632e+00 3.340933902237143371e+00 3.876059449694168269e+00 5.988491217455887750e+00 6.025574275439328886e+00 7.326717032579626476e+00 7.569000376207236869e+00 8.064121493794329965e+00 8.430638001681282745e+00
