# frequency_THz total_states_per_THz_per_atom Ga_contribution Se_contribution
5.400000000000009237e-01 8.337670855030671069e-02 3.854424804223564871e-02 4.483246050807105504e-02
5.600000000000009415e-01 8.567051698241057167e-02 3.957510711828386707e-02 4.609540986412674624e-02
5.800000000000009592e-01 8.796850899222884157e-02 4.060548890365997532e-02 4.736302008856890788e-02
6.000000000000009770e-01 9.025608429694997881e-02 4.162847688655812312e-02 4.862760741039184181e-02
6.200000000000009948e-01 9.251899233326757455e-02 4.263732151508244084e-02 4.988167081818511983e-02
6.400000000000010125e-01 9.474730679096389496e-02 4.362730706557044896e-02 5.111999972539349457e-02
6.600000000000010303e-01 9.693853595268688006e-02 4.459721188488250526e-02 5.234132406780438174e-02
6.800000000000010481e-01 9.909886041046257754e-02 4.554988812554935235e-02 5.354897228491323213e-02
7.000000000000010658e-01 1.012419445447912542e-01 4.649170090176259901e-02 5.475024364302862739e-02
7.200000000000010836e-01 1.033855051596292013e-01 4.743091304671497033e-02 5.595459211291425872e-02
7.400000000000011013e-01 1.055465902873352069e-01 4.837546292111481738e-02 5.717112736622044500e-02
7.600000000000011191e-01 1.077370178399967016e-01 4.933081533423840787e-02 5.840620250575828676e-02
7.800000000000011369e-01 1.099604326127326809e-01 5.029856860331677337e-02 5.966186400941590057e-02
8.000000000000011546e-01 1.122119478737202830e-01 5.127626783312957959e-02 6.093568004059067567e-02
8.200000000000011724e-01 1.144805442574421406e-01 5.225849947281120678e-02 6.222204478463089911e-02
8.400000000000011902e-01 1.167536199684998249e-01 5.323897362311814929e-02 6.351464634538167564e-02
8.600000000000012079e-01 1.190226011511072296e-01 5.421306991274554843e-02 6.480953123836166729e-02
8.800000000000012257e-01 1.212884449962532696e-01 5.518028569819708601e-02 6.610815929805614888e-02
9.000000000000012434e-01 1.235661214661585572e-01 5.614614719094949968e-02 6.741997427520897423e-02
9.200000000000012612e-01 1.258875429085812014e-01 5.712333419483976715e-02 6.876420871374147592e-02
9.400000000000012790e-01 1.283027314137446251e-01 5.813193893343364393e-02 7.017079248031100891e-02
9.600000000000012967e-01 1.308791827482103376e-01 5.919888657606409144e-02 7.168029617214626004e-02
9.800000000000013145e-01 1.336994314846576271e-01 6.035659783273111811e-02 7.334283365192650894e-02
1.000000000000001332e+00 1.368568276379686088e-01 6.164100154311576152e-02 7.521582609485287507e-02
1.020000000000001350e+00 1.404495629301107940e-01 6.308902345907488329e-02 7.736053947103586903e-02
1.040000000000001368e+00 1.445730509026718624e-01 6.473568103392435269e-02 7.983736986874748198e-02
1.060000000000001386e+00 1.493108757052271640e-01 6.661089904162427466e-02 8.269997666360290323e-02
1.080000000000001403e+00 1.547247220331374740e-01 6.873615266687960190e-02 8.598856936625789982e-02
1.100000000000001421e+00 1.608440518986808954e-01 7.112109693105544972e-02 8.972295496762544564e-02
1.120000000000001439e+00 1.676568139292407555e-01 7.376049433817677414e-02 9.389631959106403691e-02
1.140000000000001457e+00 1.751030161600154178e-01 7.663197883899923457e-02 9.847103732101603057e-02
1.160000000000001474e+00 1.830732593063566782e-01 7.969537763439057954e-02 1.033778816719660432e-01
1.180000000000001492e+00 1.914139743147573458e-01 8.289429345770338298e-02 1.085196808570539906e-01
1.200000000000001510e+00 1.999399760603243204e-01 8.616032062984382844e-02 1.137796554304804642e-01
